id,direction,name
1,"North Bound","Indiana/Hyde Park"
1,"South Bound","Indiana/Hyde Park"
2,"North Bound","Hyde Park Express"
2,"South Bound","Hyde Park Express"
3,"North Bound","King Drive"
3,"South Bound","King Drive"
4,"North Bound","Cottage Grove"
4,"South Bound","Cottage Grove"
5,"East Bound","South Shore Night Bus"
5,"West Bound","South Shore Night Bus"
6,"North Bound","Jackson Park Express"
6,"South Bound","Jackson Park Express"
7,"East Bound",Harrison
7,"West Bound",Harrison
8,"North Bound",Halsted
8,"South Bound",Halsted
8A,"North Bound","South Halsted"
8A,"South Bound","South Halsted"
9,"North Bound",Ashland
9,"South Bound",Ashland
10,"North Bound","Museum of S & I"
10,"South Bound","Museum of S & I"
11,"North Bound",Lincoln/Sedgwick
11,"South Bound",Lincoln/Sedgwick
12,"East Bound",Roosevelt
12,"West Bound",Roosevelt
14,"North Bound","Jeffery Express"
14,"South Bound","Jeffery Express"
15,"North Bound","Jeffery Local"
15,"South Bound","Jeffery Local"
17,"East Bound",Westchester
17,"West Bound",Westchester
18,"East Bound",16th/18th
18,"West Bound",16th/18th
19,"West Bound","United Center Express"
20,"East Bound",Madison
20,"West Bound",Madison
21,"East Bound",Cermak
21,"West Bound",Cermak
22,"North Bound",Clark
22,"South Bound",Clark
24,"North Bound",Wentworth
24,"South Bound",Wentworth
26,"North Bound","South Shore Express"
26,"South Bound","South Shore Express"
28,"North Bound","Stony Island"
28,"South Bound","Stony Island"
X28,"North Bound","Stony Island Express"
X28,"South Bound","Stony Island Express"
29,"North Bound",State
29,"South Bound",State
30,"North Bound","South Chicago"
30,"South Bound","South Chicago"
33,"North Bound","Mag Mile Express"
33,"South Bound","Mag Mile Express"
34,"North Bound","South Michigan"
34,"South Bound","South Michigan"
35,"East Bound",35th
35,"West Bound",35th
36,"North Bound",Broadway
36,"South Bound",Broadway
39,"East Bound",Pershing
39,"West Bound",Pershing
43,"East Bound",43rd
43,"West Bound",43rd
44,"North Bound",Wallace-Racine
44,"South Bound",Wallace-Racine
47,"East Bound",47th
47,"West Bound",47th
48,"North Bound","South Damen"
48,"South Bound","South Damen"
49,"North Bound",Western
49,"South Bound",Western
49A,"North Bound","South Western"
49A,"South Bound","South Western"
49B,"North Bound","North Western"
49B,"South Bound","North Western"
50,"North Bound",Damen
50,"South Bound",Damen
51,"East Bound",51st
51,"West Bound",51st
52,"North Bound",Kedzie/California
52,"South Bound",Kedzie/California
52A,"North Bound","South Kedzie"
52A,"South Bound","South Kedzie"
53,"North Bound",Pulaski
53,"South Bound",Pulaski
53A,"North Bound","South Pulaski"
53A,"South Bound","South Pulaski"
54,"North Bound",Cicero
54,"South Bound",Cicero
54A,"North Bound","North Cicero/Skokie Blvd."
54A,"South Bound","North Cicero/Skokie Blvd."
54B,"North Bound","South Cicero"
54B,"South Bound","South Cicero"
55,"East Bound",Garfield
55,"West Bound",Garfield
55A,"East Bound",55th/Austin
55A,"West Bound",55th/Austin
55N,"East Bound",55th/Narragansett
55N,"West Bound",55th/Narragansett
56,"North Bound",Milwaukee
56,"South Bound",Milwaukee
56A,"North Bound","North Milwaukee"
56A,"South Bound","North Milwaukee"
57,"North Bound",Laramie
57,"South Bound",Laramie
59,"East Bound",59th/61st
59,"West Bound",59th/61st
60,"East Bound","Blue Island/26th"
60,"West Bound","Blue Island/26th"
62,"North Bound",Archer
62,"South Bound",Archer
62H,"East Bound",Archer/Harlem
62H,"West Bound",Archer/Harlem
63,"East Bound",63rd
63,"West Bound",63rd
63W,"East Bound","West 63rd"
63W,"West Bound","West 63rd"
64,"East Bound",Foster-Canfield
64,"West Bound",Foster-Canfield
65,"East Bound",Grand
65,"West Bound",Grand
66,"East Bound",Chicago
66,"West Bound",Chicago
67,"East Bound",67th-69th-71st
67,"West Bound",67th-69th-71st
68,"East Bound","Northwest Highway"
68,"West Bound","Northwest Highway"
69,"North Bound","Cumberland/East River"
69,"South Bound","Cumberland/East River"
70,"East Bound",Division
70,"West Bound",Division
71,"North Bound","71st/South Shore"
71,"South Bound","71st/South Shore"
72,"East Bound",North
72,"West Bound",North
73,"East Bound",Armitage
73,"West Bound",Armitage
74,"East Bound",Fullerton
74,"West Bound",Fullerton
75,"East Bound",74th-75th
75,"West Bound",74th-75th
76,"East Bound",Diversey
76,"West Bound",Diversey
77,"East Bound",Belmont
77,"West Bound",Belmont
78,"East Bound",Montrose
78,"West Bound",Montrose
79,"East Bound",79th
79,"West Bound",79th
80,"East Bound","Irving Park"
80,"West Bound","Irving Park"
81,"East Bound",Lawrence
81,"West Bound",Lawrence
81W,"East Bound","West Lawrence"
81W,"West Bound","West Lawrence"
82,"North Bound",Kimball-Homan
82,"South Bound",Kimball-Homan
84,"East Bound",Peterson
84,"West Bound",Peterson
85,"North Bound",Central
85,"South Bound",Central
85A,"North Bound","North Central"
85A,"South Bound","North Central"
86,"North Bound",Narragansett/Ridgeland
86,"South Bound",Narragansett/Ridgeland
87,"East Bound",87th
87,"West Bound",87th
88,"East Bound",Higgins
88,"West Bound",Higgins
90,"North Bound",Harlem
90,"South Bound",Harlem
90N,"North Bound","North Harlem"
90N,"South Bound","North Harlem"
91,"North Bound",Austin
91,"South Bound",Austin
92,"East Bound",Foster
92,"West Bound",Foster
93,"North Bound",California/Dodge
93,"South Bound",California/Dodge
94,"North Bound","South California"
94,"South Bound","South California"
95E,"East Bound",93rd-95th
95E,"West Bound",93rd-95th
95W,"East Bound","West 95th"
95W,"West Bound","West 95th"
96,"East Bound",Lunt
96,"West Bound",Lunt
97,"East Bound",Skokie
97,"West Bound",Skokie
X98,"North Bound","Avon Express"
X98,"South Bound","Avon Express"
100,"East Bound","Jeffery Manor Express"
100,"West Bound","Jeffery Manor Express"
103,"East Bound","West 103rd"
103,"West Bound","West 103rd"
106,"East Bound","East 103rd"
106,"West Bound","East 103rd"
108,"North Bound",Halsted/95th
108,"South Bound",Halsted/95th
111,"North Bound",Pullman/111th/115th
111,"South Bound",Pullman/111th/115th
112,"North Bound",Vincennes/111th
112,"South Bound",Vincennes/111th
119,"North Bound",Michigan/119th
119,"South Bound",Michigan/119th
120,"North Bound","Ogilvie/Wacker Express"
120,"South Bound","Ogilvie/Wacker Express"
121,"North Bound","Union/Wacker Express"
121,"South Bound","Union/Wacker Express"
122,"North Bound","Illinois Center/Ogilvie Express"
122,"South Bound","Illinois Center/Ogilvie Express"
123,"North Bound","Illinois Center/Union Express"
123,"South Bound","Illinois Center/Union Express"
124,"East Bound","Navy Pier"
124,"West Bound","Navy Pier"
125,"North Bound","Water Tower Express"
125,"South Bound","Water Tower Express"
126,"East Bound",Jackson
126,"West Bound",Jackson
129,"North Bound","West Loop/South Loop"
129,"South Bound","West Loop/South Loop"
130,"East Bound","Museum Campus"
130,"West Bound","Museum Campus"
132,"North Bound","Goose Island Express"
132,"South Bound","Goose Island Express"
134,"North Bound","Stockton/LaSalle Express"
134,"South Bound","Stockton/LaSalle Express"
135,"North Bound","Clarendon/LaSalle Express"
135,"South Bound","Clarendon/LaSalle Express"
136,"North Bound","Sheridan/LaSalle Express"
136,"South Bound","Sheridan/LaSalle Express"
143,"North Bound","Stockton/Michigan Express"
143,"South Bound","Stockton/Michigan Express"
144,"North Bound","Marine/Michigan Express"
144,"South Bound","Marine/Michigan Express"
145,"North Bound","Wilson/Michigan Express"
145,"South Bound","Wilson/Michigan Express"
146,"North Bound","Inner Drive/Michigan Express"
146,"South Bound","Inner Drive/Michigan Express"
147,"North Bound","Outer Drive Express"
147,"South Bound","Outer Drive Express"
148,"North Bound","Clarendon/Michigan Express"
148,"South Bound","Clarendon/Michigan Express"
151,"North Bound",Sheridan
151,"South Bound",Sheridan
152,"East Bound",Addison
152,"West Bound",Addison
155,"East Bound",Devon
155,"West Bound",Devon
156,"North Bound",LaSalle
156,"South Bound",LaSalle
157,"East Bound",Streeterville/Taylor
157,"West Bound",Streeterville/Taylor
165,"East Bound","West 65th"
165,"West Bound","West 65th"
169,"East Bound","69th-UPS Express"
169,"West Bound","69th-UPS Express"
170,"East Bound","U. of Chicago/Midway"
170,"West Bound","U. of Chicago/Midway"
171,"North Bound","U. of Chicago/Hyde Park"
171,"South Bound","U. of Chicago/Hyde Park"
172,"North Bound","U. of Chicago/Kenwood"
172,"South Bound","U. of Chicago/Kenwood"
192,"North Bound","U. of Chicago Hospitals Express"
192,"South Bound","U. of Chicago Hospitals Express"
201,"East Bound",Central/Ridge
201,"West Bound",Central/Ridge
N201,"North Bound",Central/Sherman
N201,"South Bound",Central/Sherman
205,"East Bound",Chicago/Golf
205,"West Bound",Chicago/Golf
206,"East Bound","Evanston Circulator"
206,"West Bound","Evanston Circulator"
